Date,rf_rate
10/6/2017,0.000116667
10/10/2017,0.000117778
10/11/2017,0.00012
10/12/2017,0.000118889
10/13/2017,0.000118889
10/16/2017,0.000121111
10/17/2017,0.000118889
10/18/2017,0.000118889
10/19/2017,0.00012
10/20/2017,0.000121111
10/23/2017,0.00012
10/24/2017,0.000122222
10/25/2017,0.000122222
10/26/2017,0.000121111
10/27/2017,0.00012
10/30/2017,0.000122222
10/31/2017,0.000125556
11/1/2017,0.000128889
11/2/2017,0.000127778
11/3/2017,0.000128889
11/6/2017,0.00013
11/7/2017,0.000133333
11/8/2017,0.000134444
11/9/2017,0.000135556
11/10/2017,0.000134444
11/13/2017,0.000135556
11/14/2017,0.000137778
11/15/2017,0.000136667
11/16/2017,0.000138889
11/17/2017,0.00014
11/20/2017,0.000142222
11/21/2017,0.000142222
11/22/2017,0.000141111
11/24/2017,0.00014
11/27/2017,0.000138889
11/28/2017,0.000142222
11/29/2017,0.000141111
11/30/2017,0.000138889
12/1/2017,0.000138889
12/4/2017,0.000142222
12/5/2017,0.000142222
12/6/2017,0.000142222
12/7/2017,0.000141111
12/8/2017,0.00014
12/11/2017,0.000145556
12/12/2017,0.000146667
12/13/2017,0.000142222
12/14/2017,0.000144444
12/15/2017,0.000143333
12/18/2017,0.000151111
12/19/2017,0.00015
12/20/2017,0.000151111
12/21/2017,0.000147778
12/22/2017,0.000145556
12/26/2017,0.000161111
12/27/2017,0.000157778
12/28/2017,0.000152222
12/29/2017,0.000152222
1/2/2018,0.000157778
1/3/2018,0.000154444
1/4/2018,0.000154444
1/5/2018,0.000152222
1/8/2018,0.000158889
1/9/2018,0.000157778
1/10/2018,0.000155556
1/11/2018,0.000156667
1/12/2018,0.000156667
1/16/2018,0.000158889
1/17/2018,0.000157778
1/18/2018,0.000158889
1/19/2018,0.000157778
1/22/2018,0.000158889
1/23/2018,0.000157778
1/24/2018,0.000156667
1/25/2018,0.000155556
1/26/2018,0.000154444
1/29/2018,0.000158889
1/30/2018,0.000157778
1/31/2018,0.00016
2/1/2018,0.000162222
2/2/2018,0.000162222
2/5/2018,0.000165556
2/6/2018,0.000166667
2/7/2018,0.00017
2/8/2018,0.00017
2/9/2018,0.00017
2/12/2018,0.000178889
2/13/2018,0.000174444
2/14/2018,0.000173333
2/15/2018,0.000173333
2/16/2018,0.000176667
2/20/2018,0.000182222
2/21/2018,0.00018
2/22/2018,0.000178889
2/23/2018,0.000178889
2/26/2018,0.000183333
2/27/2018,0.000182222
2/28/2018,0.000181111
3/1/2018,0.000177778
3/2/2018,0.00018
3/5/2018,0.000185556
3/6/2018,0.000183333
3/7/2018,0.000183333
3/8/2018,0.000182222
3/9/2018,0.000182222
